Province,Region,H0_PersistentEntropy,H0_L2_Norm,H0_Total_Persistence,H0_PersistentEntropy_scaled,H0_L2_Norm_scaled,H0_Total_Persistence_scaled
CAVITE,Region 4-A,0.9683090373930356,0.451986350957901,13.090120281963278,0.4514235940708972,-0.4833362532893936,-0.4940557304825783
CEBU,Region 7,0.9610549565313241,1.2662185481357568,40.68195566466204,-0.034217914243565496,-0.15930541156728328,1.4012597030987999
COMPOSTELA VALLEY,Region 11,0.9608832813685886,0.8085247386263291,11.70888659780477,-0.045711111874028966,-0.341448675933853,-0.588934287224389
COTABATO (NORTH COT.),Region 12,0.9257425081381634,5.575693272804776,38.51718143228644,-2.3982928434944935,1.5556878388281445,1.2525588299624857
DAVAO (DAVAO DEL NORTE),Region 11,0.9651221599634652,0.6396251755446742,9.095311051885776,0.23807058750615387,-0.40866373790454863,-0.7684638473390174
DAVAO DEL SUR,Region 11,0.9567185686575215,1.2344505844029054,22.936049927922134,-0.32452760168936895,-0.17194775126329606,0.1822726890339999
DAVAO OCCIDENTAL,Region 11,0.9692895686026765,1.1902685459063513,10.180932000119824,0.5170675625732026,-0.18953038085305907,-0.6938912750665168
DAVAO ORIENTAL,Region 11,0.969636418640129,0.6466825152568809,11.09934852712443,0.5402882542857037,-0.4058552076902053,-0.6308041699883413
DINAGAT ISLANDS,Region 13,0.9750622920851336,1.2761073439804291,9.48197572544896,0.9035361162806895,-0.15537007855997487,-0.7419033988128372
EASTERN SAMAR,Region 8,0.9529102872845203,2.2064507517017526,25.17023655455675,-0.5794819570828917,0.21486823741355554,0.3357415806908742
GUIMARAS,Region 6,0.965191385461979,0.9465278779949996,6.514875124279454,0.24270505135525872,-0.2865291166669572,-0.9457170083239819
IFUGAO,CAR,0.9801671106938145,0.6603672339271226,11.780707573151481,1.245290206985239,-0.40040925391336135,-0.5840008204527352
ILOCOS NORTE,Region 1,0.9696159390168241,0.572603190580251,16.863517229339983,0.5389171977258045,-0.4353357244425176,-0.23485668220627576
ILOCOS SUR,Region 1,0.9729350488577317,0.6440004800630208,23.793815241496866,0.7611228141406541,-0.4069225471105905,0.2411935913465863
ILOILO,Region 6,0.9682352487251705,0.9240483175863775,40.60679645641365,0.44648363811484043,-0.29547505482316816,1.3960969292059744
ISABELA,Region 2,0.957760484052478,1.222561405406296,32.90958139324979,-0.25477412449647985,-0.17667915428445988,0.8673662267186284
KALINGA,CAR,0.9647733692542462,0.7338819380081589,10.413399248491785,0.21471997295686646,-0.3711534328774281,-0.6779228279686537
LA UNION,Region 1,0.9688431754764619,0.6267445314455911,17.5693829997747,0.4871827246111286,-0.4137897031560028,-0.18636993711716116
LAGUNA,Region 4-A,0.9701722238495512,0.33375586872313234,11.093117681963392,0.5761589944976002,-0.530387110291275,-0.631232174027731
LANAO DEL NORTE,Region 10,0.9282924729623452,6.757967782948928,35.87806356036825,-2.2275794496170107,2.026184345839798,1.0712747376101721
LANAO DEL SUR,ARMM,0.9442009247053027,2.618960834068861,18.751686568837727,-1.1625507234863093,0.3790302414113832,-0.10515612257590011
LEYTE,Region 8,0.9651745599216883,2.4970702599384573,70.41143622634614,0.24157862597887367,0.3305228187494436,3.443412483419069
MAGUINDANAO,ARMM,0.9394872193433358,8.905695918511555,70.39546824455947,-1.4781208178063598,2.880891587789605,3.4423156240799324
MARINDUQUE,Region 4-B,0.9754581957559088,0.4852134438751585,8.54832498059563,0.9300408188733077,-0.47011324034139795,-0.8060369601273141
MASBATE,Region 5,0.9683539781852833,1.1709806053521412,27.928988610092084,0.4544322611299067,-0.19720618590538808,0.5252434849954746
MISAMIS OCCIDENTAL,Region 10,0.95763698820749,2.695728956294089,30.915179683720662,-0.2630418443598089,0.4095807887224384,0.7303684413809459
MISAMIS ORIENTAL,Region 10,0.9651235062249001,1.368641704008422,20.258194832311474,0.23816071614495565,-0.118545218683379,-0.0016723085063919411
MOUNTAIN PROVINCE,CAR,0.9712538595531658,0.6932714329881745,9.47808818738445,0.6485716411945452,-0.38731473940644406,-0.7421704383479063
NATIONAL CAPITAL REGION - FOURTH DISTRICT,NCR,0.9684611666111144,0.34088165708518287,5.341947390153946,0.4616082424550096,-0.5275513403365966,-1.0262867858008968
NATIONAL CAPITAL REGION - MANILA,NCR,0.9688352039244282,0.2051459822519331,2.596583422521741,0.48664905030737454,-0.5815685422114192,-1.2148690466937055
NATIONAL CAPITAL REGION - SECOND DISTRICT,NCR,0.9756721941312027,0.2843560738660268,7.536246311122643,0.9443674435326934,-0.5500461917718751,-0.8755578272840331
NATIONAL CAPITAL REGION - THIRD DISTRICT,NCR,0.9688045435629258,0.3084328845219998,5.146442483472738,0.4845964202789293,-0.5404646138756934,-1.0397162464306209
NEGROS OCCIDENTAL,NIR,0.9678539358452007,0.6813137556474582,28.973306196369627,0.4209557503371231,-0.39207340194421075,0.5969788810421395
NEGROS ORIENTAL,NIR,0.9602986045462549,1.0580686030135076,24.636020381055943,-0.08485367718141762,-0.24214050720234423,0.2990456471126478
NORTHERN SAMAR,Region 8,0.9473500395602633,3.976941565352412,40.34963670736384,-0.9517258213142485,0.9194505796458082,1.3784323253653894
NUEVA ECIJA,Region 3,0.9722585763642156,0.4892296431649852,18.870549726743675,0.7158347716791461,-0.4685149586216172,-0.09699127328121973
NUEVA VIZCAYA,Region 2,0.9566657279483707,0.9852396713723852,11.953956468126073,-0.3280651472697944,-0.27112341908324117,-0.5721001512894884
OCCIDENTAL MINDORO,Region 4-B,0.9624805019808286,1.2392945258531687,13.110509964162228,0.06121857943026198,-0.17002006229346456,-0.4926551393721471
ORIENTAL MINDORO,Region 4-B,0.9482163075933814,1.8996878171172447,20.963089374683662,-0.8937314699652615,0.09278923802359365,0.04674772179152061
PALAWAN,Region 4-B,0.9727601657100885,1.062496474276039,24.62357916516242,0.7494148504138467,-0.240378397011654,0.29819104544630487
PAMPANGA,Region 3,0.9583529549426278,0.835859788088245,15.386785371907287,-0.2151097669838075,-0.33057045333793983,-0.33629512012941937
PANGASINAN,Region 1,0.9735612550638463,0.3245170109992504,23.544030486358814,0.8030456617419953,-0.5340637947250232,0.2240355844608483
QUEZON,Region 4-A,0.9714173929610969,0.9578350793244721,38.73034282089885,0.6595197698963683,-0.28202931676097287,1.267201134980515
QUIRINO,Region 2,0.960176516566688,0.8979811556528751,7.472789403248117,-0.09302714418216394,-0.30584871046082934,-0.8799167564815215
RIZAL,Region 4-A,0.9642584782074538,0.39008248026781367,8.866075591864991,0.180249380562221,-0.5079714413783561,-0.7842102991163411
ROMBLON,Region 4-B,0.9771082050076176,0.4339042548741767,8.754990433474315,1.040504569830677,-0.49053218196234116,-0.7918408685300633
SAMAR (WESTERN SAMAR),Region 8,0.9516652653723183,6.419453110042772,74.31600070174264,-0.6628328778753124,1.8914694637984695,3.7116215825597845
SARANGANI,Region 12,0.9634848733268296,1.0572792325049278,14.739186013052153,0.12845858194447451,-0.2424546441171116,-0.3807794772804182
SIQUIJOR,Region 7,0.9509091575194347,2.5438300244789342,12.146659469446135,-0.7134522968096867,0.3491312770188343,-0.5588631568150875
SORSOGON,Region 5,0.9740478845503152,0.5526804636381921,14.176641115203813,0.8356242174962398,-0.4432641483034387,-0.41942134405681153
SOUTH COTABATO,Region 12,0.9691417189276517,0.7780104647282252,12.964298361566051,0.5071694182663439,-0.3535920987682878,-0.5026985853091639
SOUTHERN LEYTE,Region 8,0.9641778339025401,1.5669728037503086,24.632349112516202,0.1748504578562461,-0.03961761865505737,0.2987934633841034
SULTAN KUDARAT,Region 12,0.9601491399080568,1.6143559473478464,16.242088641869124,-0.09485993899706983,-0.02076108122437646,-0.27754333847129276
SULU,ARMM,0.8911925931487724,11.91982380900809,19.189179961794046,-4.711318180191041,4.080390208454372,-0.07510418988424847
SURIGAO DEL NORTE,Region 13,0.9436180316496418,2.633150043323257,15.966221512302738,-1.2015738703375314,0.38467696163935866,-0.29649297415275294
SURIGAO DEL SUR,Region 13,0.9561878050095302,1.6917911211899803,13.138890571230991,-0.36006082271113926,0.010054925126062408,-0.49070564228919605
TAGUIG - PATEROS,NCR,0.9284510692576766,0.6654673738467594,1.5800104263474548,-2.2169618475325925,-0.39837960851639914,-1.2846986344064288
TARLAC,Region 3,0.9714599362082721,0.5309192487051484,14.089339793177473,0.6623679276603417,-0.4519242145794836,-0.4254181739419424
TAWI-TAWI,ARMM,0.9328268942029645,4.72456947233217,25.6730986195907,-1.924011952561576,1.2169756601243855,0.37028376389841344
