,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNUAL REGULAR INCOME AND DEPENDENCIES,,,,,,,,,,,,,,,,,,,,,,,,,,,
by LGU,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY 2019 (Final),,,,,,,,,,,,,,,,,,,,,,,,,,,
In Php Million,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION,PROVINCE,LGU NAME,LGU TYPE,INCOME CLASS,LOCALLY SOURCED REVENUE (LSR),,,,,,,,,INTEREST INCOME,INTERNAL REVENUE ALLOTMENT (IRA),OTHER SHARES FROM NATIONAL TAX COLLECTION,,,,,,,ANNUAL REGULAR INCOME (ARI),LSR DEPENDENCY,IRA DEPENDENCY,OTHER SHARES FROM NATIONAL TAX DEPENDENCY,
,,,,,TAX REVENUE,,,,NON-TAX REVENUE,,,,TOTAL LOCALLY - SOURCED REVENUE (LSR),,,"Share From Economic Zone 
(RA 7227)",Share From EVAT,Share From National Wealth,Share From Pagcor/PCSO/Lotto,Share From Tobacco Excise Tax (RA 7171),Others,TOTAL OTHER SHARES FROM NATIONAL TAX COLLECTION,,,,,
,,,,,"Real Property Tax 
(General Fund)",Tax On Business,Other Taxes,Total Tax Revenue,Regulatory Fees,Service/User Charges,Receipts From Economic Enterprises,Total Non-Tax Revenue,,,,,,,,,,,,,,,
,,,,,,,,,,,,,a,,b,,,,,,,c,d,e = a / d,f = b / d,g = c / d,
Region V,Masbate,San Jacinto,Municipality,4th,0.33,0.61,0.40,1.34,0.32,1.79,1.58,3.69,5.03,0.00,102.83,0.00,0.00,0.00,0.23,0.00,0.00,0.23,108.10,4.7%,95.1%,0.2%,
Region V,Masbate,San Pascual,Municipality,3rd,0.88,0.04,0.25,1.17,1.50,1.24,16.11,18.84,20.01,0.00,149.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,169.87,11.8%,88.2%,0.0%,
Region V,Masbate,Uson,Municipality,3rd,0.59,2.22,0.31,3.13,3.29,0.90,2.83,7.03,10.16,0.00,151.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,161.87,6.3%,93.7%,0.0%,
Region V,Sorsogon,Barcelona,Municipality,5th,0.78,0.93,0.24,1.95,0.37,0.88,1.16,2.42,4.37,0.03,77.46,0.00,0.00,0.00,0.04,0.00,0.00,0.04,81.89,5.3%,94.6%,0.0%,
Region V,Sorsogon,Bulan,Municipality,1st,2.23,12.15,1.20,15.58,3.40,4.69,15.83,23.92,39.49,0.00,229.08,0.00,0.00,0.08,0.34,0.00,0.00,0.41,268.98,14.7%,85.2%,0.2%,
Region V,Sorsogon,Bulusan,Municipality,4th,0.35,1.09,0.19,1.63,1.41,6.48,0.00,7.88,9.51,0.00,86.31,0.00,0.00,0.00,0.17,0.00,0.00,0.18,96.00,9.9%,89.9%,0.2%,
Region V,Sorsogon,Casiguran,Municipality,4th,0.46,0.61,0.30,1.36,0.73,1.63,2.92,5.28,6.65,0.00,101.10,0.00,0.00,0.00,0.08,0.00,0.00,0.08,107.83,6.2%,93.8%,0.1%,
Region V,Sorsogon,Castilla,Municipality,3rd,1.29,2.02,0.59,3.90,2.29,1.41,4.36,8.06,11.97,0.11,158.20,0.00,0.00,0.00,0.14,0.00,0.00,0.14,170.41,7.0%,92.8%,0.1%,
Region V,Sorsogon,Donsol,Municipality,3rd,0.95,0.01,0.64,1.61,2.44,0.67,9.26,12.37,13.98,0.13,140.01,0.00,0.00,0.01,0.06,0.00,0.00,0.07,154.19,9.1%,90.8%,0.0%,
Region V,Sorsogon,Gubat,Municipality,2nd,1.08,4.38,0.44,5.90,2.50,2.11,5.21,9.82,15.72,0.02,152.52,0.00,0.00,0.00,0.69,0.00,0.00,0.69,168.95,9.3%,90.3%,0.4%,
Region V,Sorsogon,Irosin,Municipality,2nd,0.89,4.89,0.62,6.39,2.52,2.03,2.83,7.38,13.77,0.35,150.34,0.00,0.00,0.03,0.19,0.00,0.00,0.21,164.68,8.4%,91.3%,0.1%,
Region V,Sorsogon,Juban,Municipality,4th,0.46,1.56,0.29,2.31,1.84,1.80,8.70,12.34,14.65,0.05,105.87,0.00,0.00,0.01,0.09,0.00,0.00,0.09,120.67,12.1%,87.7%,0.1%,
Region V,Sorsogon,Magallanes,Municipality,3rd,0.50,0.73,0.30,1.53,1.00,0.95,8.37,10.33,11.86,0.05,118.28,0.00,0.00,0.07,0.08,0.00,0.00,0.14,130.33,9.1%,90.7%,0.1%,
Region V,Sorsogon,Matnog,Municipality,3rd,0.60,0.49,0.19,1.27,2.58,12.01,1.63,16.22,17.49,0.00,126.94,0.00,0.00,0.00,0.20,0.00,0.02,0.22,144.65,12.1%,87.8%,0.2%,
Region V,Sorsogon,Pilar,Municipality,1st,1.49,2.46,0.57,4.52,4.27,1.79,10.01,16.07,20.58,0.09,195.70,0.00,0.00,0.01,0.00,0.00,0.00,0.01,216.38,9.5%,90.4%,0.0%,
Region V,Sorsogon,Prieto Diaz,Municipality,5th,0.31,0.31,0.39,1.01,0.55,1.94,0.00,2.49,3.49,0.06,77.85,0.00,0.00,0.02,0.07,0.00,0.00,0.09,81.49,4.3%,95.5%,0.1%,
Region V,Sorsogon,Santa Magdalena,Municipality,5th,0.35,0.36,0.12,0.83,0.50,0.40,2.86,3.75,4.58,0.02,67.79,0.00,0.00,0.02,0.05,0.00,0.00,0.08,72.46,6.3%,93.5%,0.1%,
Region VI,Aklan,Altavas,Municipality,4th,0.95,3.21,0.43,4.60,1.56,1.08,8.41,11.05,15.65,0.04,91.24,0.00,0.00,0.00,0.11,0.00,0.00,0.11,107.04,14.6%,85.2%,0.1%,
Region VI,Aklan,Balete,Municipality,4th,0.70,0.89,0.20,1.79,0.93,0.55,6.72,8.20,9.99,0.06,99.89,0.00,0.00,0.00,0.05,0.00,0.00,0.05,109.98,9.1%,90.8%,0.0%,
Region VI,Aklan,Banga,Municipality,3rd,1.76,2.37,0.41,4.54,1.81,1.54,6.82,10.17,14.71,0.05,111.57,0.00,0.00,0.00,0.23,0.00,0.00,0.23,126.56,11.6%,88.2%,0.2%,
Region VI,Aklan,Batan,Municipality,4th,1.38,1.16,0.43,2.97,1.42,2.70,2.21,6.33,9.30,0.06,98.48,0.00,0.00,0.00,0.02,0.00,0.00,0.02,107.85,8.6%,91.3%,0.0%,
Region VI,Aklan,Buruanga,Municipality,5th,0.52,1.24,0.25,2.01,2.62,1.40,4.54,8.56,10.56,0.08,78.68,0.00,0.00,0.00,0.03,0.00,0.00,0.03,89.35,11.8%,88.1%,0.0%,
Region VI,Aklan,Ibajay,Municipality,3rd,1.59,2.49,0.58,4.66,0.75,1.29,14.86,16.89,21.55,0.16,140.21,0.00,0.00,0.00,0.09,0.00,0.00,0.09,162.02,13.3%,86.5%,0.1%,
Region VI,Aklan,Kalibo,Municipality,1st,10.14,123.65,4.68,138.48,12.45,4.85,58.14,75.43,213.91,0.62,173.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,387.80,55.2%,44.7%,0.0%,
Region VI,Aklan,Lezo,Municipality,5th,0.77,0.43,0.34,1.54,0.31,0.53,0.00,0.84,2.38,0.03,61.84,0.00,0.00,0.00,0.03,0.00,0.00,0.03,64.27,3.7%,96.2%,0.0%,
Region VI,Aklan,Libacao,Municipality,3rd,0.58,1.55,1.55,3.68,0.42,2.24,0.00,2.66,6.34,0.17,121.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,127.58,5.0%,94.9%,0.0%,
Region VI,Aklan,Madalag,Municipality,4th,0.39,0.38,0.13,0.90,0.52,1.08,0.00,1.61,2.51,0.06,107.34,0.00,0.00,0.00,0.03,0.00,0.00,0.03,109.94,2.3%,97.6%,0.0%,
Region VI,Aklan,Makato,Municipality,4th,0.92,1.57,0.29,2.79,1.12,0.54,1.81,3.48,6.27,0.00,88.28,0.00,0.00,0.00,0.05,0.00,0.00,0.05,94.59,6.6%,93.3%,0.0%,
Region VI,Aklan,Malay,Municipality,1st,35.41,90.61,5.47,131.49,55.35,200.70,22.79,278.84,410.33,0.90,130.57,0.00,0.00,0.00,0.37,0.00,0.00,0.37,542.17,75.7%,24.1%,0.1%,
Region VI,Aklan,Malinao,Municipality,4th,0.55,1.18,0.29,2.03,1.21,0.58,1.98,3.78,5.80,0.17,101.51,0.00,0.00,0.00,0.05,0.00,0.00,0.05,107.53,5.4%,94.4%,0.0%,
Region VI,Aklan,Nabas,Municipality,4th,8.16,9.75,0.51,18.42,3.46,1.19,2.57,7.22,25.65,0.05,108.56,0.00,0.00,0.15,0.08,0.00,0.00,0.24,134.50,19.1%,80.7%,0.2%,
Region VI,Aklan,New Washington,Municipality,3rd,1.59,3.47,1.37,6.44,2.10,0.79,6.25,9.13,15.57,0.00,117.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,133.22,11.7%,88.3%,0.0%,
Region VI,Aklan,Numancia,Municipality,4th,2.09,5.61,0.44,8.14,1.49,1.37,2.44,5.30,13.44,0.06,90.06,0.00,0.00,0.00,0.08,0.00,0.00,0.08,103.64,13.0%,86.9%,0.1%,
Region VI,Aklan,Tangalan,Municipality,5th,0.72,1.97,0.37,3.07,1.23,0.78,2.24,4.25,7.32,0.06,81.17,0.00,0.00,0.00,0.01,0.00,0.00,0.01,88.55,8.3%,91.7%,0.0%,
Region VI,Antique,Anini-Y,Municipality,4th,0.53,1.50,0.30,2.33,1.66,0.92,7.17,9.75,12.08,0.04,78.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.74,13.3%,86.6%,0.0%,
Region VI,Antique,Barbaza,Municipality,4th,0.58,3.21,0.26,4.06,1.48,0.85,1.56,3.88,7.94,0.03,95.53,0.00,0.00,0.00,0.02,0.00,0.00,0.02,103.52,7.7%,92.3%,0.0%,
Region VI,Antique,Belison,Municipality,5th,0.54,0.69,0.41,1.64,0.70,1.35,0.00,2.06,3.70,0.03,58.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.21,5.9%,94.0%,0.0%,
Region VI,Antique,Bugasong,Municipality,3rd,1.98,3.85,0.31,6.14,1.25,0.99,6.08,8.31,14.45,0.06,121.50,0.00,0.00,0.00,0.09,0.00,0.00,0.09,136.09,10.6%,89.3%,0.1%,
Region VI,Antique,Caluya,Municipality,1st,1.04,46.20,0.63,47.88,3.17,1.00,0.00,4.17,52.05,0.00,112.81,0.00,0.00,800.30,0.00,0.00,0.00,800.30,965.16,5.4%,11.7%,82.9%,
Region VI,Antique,Culasi,Municipality,3rd,0.84,3.47,0.49,4.80,3.09,6.47,0.00,9.56,14.36,0.02,137.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,152.36,9.4%,90.6%,0.0%,
Region VI,Antique,Hamtic,Municipality,3rd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0%,0.0%,0.0%,
Region VI,Antique,Laua-An,Municipality,4th,0.84,0.77,0.37,1.98,1.18,1.17,0.00,2.36,4.33,0.13,92.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,96.71,4.5%,95.4%,0.0%,
Region VI,Antique,Libertad,Municipality,5th,0.26,0.53,0.36,1.15,0.75,0.57,0.00,1.32,2.47,0.00,75.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78.33,3.1%,96.9%,0.0%,
Region VI,Antique,Pandan,Municipality,4th,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0%,0.0%,0.0%,
Region VI,Antique,Patnongon,Municipality,3rd,0.91,3.09,0.61,4.61,1.62,1.66,5.38,8.66,13.28,0.07,121.42,0.00,0.00,0.00,0.09,0.00,0.00,0.09,134.86,9.8%,90.0%,0.1%,
Region VI,Antique,San Jose,Municipality,1st,3.25,42.84,1.58,47.66,9.01,9.72,30.16,48.88,96.54,0.09,143.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,239.98,40.2%,59.7%,0.0%,
Region VI,Antique,San Remigio,Municipality,3rd,0.49,1.28,0.91,2.69,0.83,0.76,2.32,3.91,6.60,0.10,152.01,0.00,0.00,0.00,0.01,0.00,0.00,0.01,158.71,4.2%,95.8%,0.0%,
Region VI,Antique,Sebaste,Municipality,4th,0.46,0.74,0.26,1.47,1.19,0.24,15.66,17.09,18.56,0.02,80.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.26,18.7%,81.3%,0.0%,
Region VI,Antique,Sibalom,Municipality,2nd,2.86,7.93,0.96,11.75,5.41,2.07,10.42,17.90,29.64,0.10,164.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,194.47,15.2%,84.7%,0.0%,
Region VI,Antique,Tibiao,Municipality,4th,0.64,1.82,0.56,3.02,0.59,5.14,0.00,5.73,8.75,0.10,105.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,114.76,7.6%,92.3%,0.0%,
Region VI,Antique,Tobias Fornier,Municipality,4th,1.17,2.48,0.42,4.08,1.46,0.85,1.87,4.18,8.26,0.09,105.52,0.00,0.00,0.00,0.07,0.00,0.00,0.07,113.94,7.2%,92.6%,0.1%,
Region VI,Antique,Valderrama,Municipality,4th,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0%,0.0%,0.0%,
Region VI,Capiz,Cuartero,Municipality,4th,0.57,1.94,0.67,3.18,1.37,0.72,6.02,8.11,11.29,0.01,95.39,0.00,0.00,0.00,0.07,0.00,0.00,0.07,106.77,10.6%,89.3%,0.1%,
Region VI,Capiz,Dao,Municipality,4th,0.51,1.79,0.25,2.55,1.23,0.62,4.30,6.16,8.71,0.03,100.78,0.00,0.00,0.03,0.09,0.00,0.00,0.12,109.63,7.9%,91.9%,0.1%,
Region VI,Capiz,Dumalag,Municipality,4th,0.44,1.60,0.61,2.65,1.19,2.02,2.64,5.86,8.51,0.08,99.19,0.00,0.00,0.00,0.07,0.00,0.00,0.07,107.84,7.9%,92.0%,0.1%,
Region VI,Capiz,Dumarao,Municipality,2nd,0.77,2.00,0.33,3.10,1.37,1.06,4.49,6.92,10.01,0.06,146.70,0.00,0.00,0.00,0.02,0.00,0.00,0.02,156.80,6.4%,93.6%,0.0%,
Region VI,Capiz,Ivisan,Municipality,4th,1.16,2.99,0.71,4.87,1.08,1.33,3.39,5.80,10.66,0.09,89.51,0.00,0.00,0.00,0.07,0.00,0.00,0.07,100.33,10.6%,89.2%,0.1%,
Region VI,Capiz,Jamindan,Municipality,2nd,0.56,1.49,0.54,2.59,1.37,4.23,0.00,5.60,8.18,0.00,160.59,0.00,0.00,0.00,0.12,0.00,0.00,0.12,168.89,4.8%,95.1%,0.1%,
Region VI,Capiz,Ma-Ayon,Municipality,3rd,0.35,0.92,0.53,1.79,1.03,2.25,0.00,3.28,5.07,0.00,119.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,124.33,4.1%,95.9%,0.0%,
Region VI,Capiz,Mambusao,Municipality,3rd,0.89,3.48,0.46,4.84,1.21,1.08,5.24,7.53,12.37,0.04,120.38,0.00,0.00,0.15,0.10,0.00,0.00,0.24,133.02,9.3%,90.5%,0.2%,
Region VI,Capiz,Panay,Municipality,3rd,1.37,3.45,0.67,5.49,2.10,1.00,2.98,6.08,11.56,0.04,127.60,0.00,0.00,0.00,0.15,0.00,0.00,0.15,139.35,8.3%,91.6%,0.1%,
Region VI,Capiz,Panitan,Municipality,3rd,0.54,1.60,0.32,2.45,0.69,0.49,2.85,4.03,6.49,0.00,113.73,0.00,0.00,0.00,0.16,0.00,0.00,0.16,120.37,5.4%,94.5%,0.1%,
Region VI,Capiz,Pilar,Municipality,3rd,0.80,0.49,0.75,2.03,0.98,1.61,0.00,2.59,4.62,0.03,119.96,0.00,0.00,0.00,0.04,0.00,0.00,0.04,124.64,3.7%,96.2%,0.0%,
Region VI,Capiz,Pontevedra,Municipality,3rd,0.79,2.67,0.53,3.99,1.71,1.07,5.87,8.65,12.64,0.03,130.49,0.00,0.00,0.04,0.17,0.00,0.00,0.21,143.37,8.8%,91.0%,0.1%,
Region VI,Capiz,President Roxas,Municipality,4th,1.51,3.73,0.47,5.70,2.91,6.23,0.00,9.14,14.84,0.01,94.40,0.00,0.00,0.00,0.07,0.00,0.00,0.07,109.32,13.6%,86.4%,0.1%,
Region VI,Capiz,Sapi-An,Municipality,4th,0.67,1.20,0.19,2.06,1.19,0.69,1.18,3.06,5.12,0.09,92.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,97.79,5.2%,94.7%,0.0%,
Region VI,Capiz,Sigma,Municipality,4th,0.43,2.41,0.24,3.08,1.32,0.85,4.61,6.78,9.86,0.03,99.06,0.00,0.00,0.05,0.00,0.00,0.00,0.05,109.00,9.0%,90.9%,0.0%,
Region VI,Capiz,Tapaz,Municipality,1st,1.30,2.22,0.50,4.02,5.69,2.72,4.42,12.83,16.85,0.10,201.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,218.71,7.7%,92.3%,0.0%,
Region VI,Guimaras,Buenavista,Municipality,2nd,1.90,2.65,0.68,5.23,3.14,2.12,4.20,9.46,14.69,0.37,136.62,0.00,0.00,0.00,0.14,0.00,0.00,0.14,151.83,9.7%,90.0%,0.1%,
Region VI,Guimaras,Jordan,Municipality,3rd,2.48,6.73,0.54,9.75,2.58,0.66,5.28,8.52,18.28,0.07,112.81,0.00,0.00,0.00,0.51,0.00,0.00,0.51,131.66,13.9%,85.7%,0.4%,
Region VI,Guimaras,Nueva Valencia,Municipality,3rd,1.41,2.81,0.32,4.54,1.86,2.84,0.00,4.70,9.24,0.04,120.69,0.00,0.00,0.00,0.03,0.00,0.00,0.03,130.00,7.1%,92.8%,0.0%,
Region VI,Guimaras,San Lorenzo,Municipality,5th,10.34,4.52,0.35,15.21,0.66,0.85,0.00,1.52,16.72,0.01,91.06,0.00,0.00,0.00,0.05,0.00,0.00,0.05,107.85,15.5%,84.4%,0.0%,
Region VI,Guimaras,Sibunag,Municipality,4th,0.94,1.02,0.35,2.31,1.21,0.60,0.00,1.80,4.11,0.04,89.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.16,4.4%,95.5%,0.0%,
Region VI,Iloilo,Ajuy,Municipality,2nd,1.42,2.43,1.73,5.58,1.66,2.90,0.00,4.56,10.14,0.00,147.36,0.00,0.00,0.00,0.02,0.00,0.00,0.02,157.53,6.4%,93.5%,0.0%,
Region VI,Iloilo,Alimodian,Municipality,3rd,2.04,2.39,0.71,5.13,1.83,0.35,5.35,7.52,12.66,0.00,119.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,132.31,9.6%,90.4%,0.0%,
Region VI,Iloilo,Anilao,Municipality,4th,1.03,1.11,0.33,2.47,1.84,0.62,1.89,4.35,6.82,4.93,96.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,108.20,6.3%,89.1%,0.0%,
Region VI,Iloilo,Badiangan,Municipality,4th,1.29,0.49,0.21,2.00,0.73,0.58,0.05,1.36,3.36,0.06,89.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.39,3.6%,96.3%,0.0%,
Region VI,Iloilo,Balasan,Municipality,4th,2.79,9.24,0.60,12.64,3.11,1.57,7.18,11.87,24.50,0.14,96.12,0.00,0.00,0.00,0.06,0.00,0.00,0.06,120.82,20.3%,79.6%,0.0%,
Region VI,Iloilo,Banate,Municipality,4th,1.29,5.10,0.44,6.83,1.88,0.94,7.56,10.38,17.22,0.00,103.17,0.00,0.00,0.00,0.01,0.00,0.00,0.01,120.40,14.3%,85.7%,0.0%,
Region VI,Iloilo,Barotac Nuevo,Municipality,2nd,3.58,4.27,1.38,9.23,5.12,2.51,12.96,20.59,29.82,0.21,137.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,167.19,17.8%,82.0%,0.0%,
Region VI,Iloilo,Barotac Viejo,Municipality,3rd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0%,0.0%,0.0%,
Region VI,Iloilo,Batad,Municipality,5th,0.32,1.33,0.26,1.91,0.68,1.30,0.00,1.98,3.89,0.08,76.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.61,4.8%,95.1%,0.0%,
Region VI,Iloilo,Bingawan,Municipality,5th,0.98,0.37,0.19,1.53,0.47,1.10,1.02,2.59,4.12,0.02,71.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.07,5.4%,94.5%,0.0%,
Region VI,Iloilo,Cabatuan,Municipality,2nd,3.33,5.69,0.63,9.66,2.12,3.02,6.88,12.03,21.68,0.31,147.20,0.00,0.00,0.00,0.05,0.00,0.00,0.05,169.23,12.8%,87.0%,0.0%,
Region VI,Iloilo,Calinog,Municipality,1st,3.26,5.37,1.48,10.11,1.16,1.25,7.20,9.61,19.72,1.08,176.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,197.70,10.0%,89.5%,0.0%,
Region VI,Iloilo,Carles,Municipality,2nd,2.07,2.54,0.51,5.11,2.43,9.41,0.81,12.65,17.76,0.02,161.65,0.00,0.00,0.00,0.02,0.00,0.00,0.02,179.46,9.9%,90.1%,0.0%,
Region VI,Iloilo,Concepcion,Municipality,3rd,2.69,20.13,3.61,26.43,4.61,1.61,4.26,10.48,36.91,0.06,117.81,0.00,0.00,0.00,0.03,0.00,0.00,0.03,154.81,23.8%,76.1%,0.0%,
Region VI,Iloilo,Dingle,Municipality,3rd,3.28,5.96,0.72,9.97,2.16,4.55,16.83,23.54,33.51,1.92,123.38,0.00,0.00,0.00,0.05,0.00,0.00,0.05,158.87,21.1%,77.7%,0.0%,
Region VI,Iloilo,Dueñas,Municipality,4th,2.12,2.18,0.33,4.64,0.78,0.97,3.81,5.56,10.19,0.02,103.94,0.00,0.00,0.01,0.00,0.00,0.00,0.01,114.17,8.9%,91.0%,0.0%,
Region VI,Iloilo,Dumangas,Municipality,1st,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0%,0.0%,0.0%,
Region VI,Iloilo,Estancia,Municipality,2nd,1.98,10.30,0.83,13.11,1.50,1.88,15.58,18.95,32.06,0.04,117.33,0.00,0.00,0.00,0.08,0.00,0.00,0.08,149.51,21.4%,78.5%,0.1%,
Region VI,Iloilo,Guimbal,Municipality,4th,1.85,5.27,0.45,7.57,1.49,3.05,0.00,4.54,12.11,0.00,95.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,107.84,11.2%,88.8%,0.0%,
Region VI,Iloilo,Igbaras,Municipality,3rd,1.44,0.83,0.26,2.53,1.82,3.44,0.00,5.26,7.79,0.07,109.82,0.00,0.00,0.00,0.04,0.00,0.00,0.04,117.72,6.6%,93.3%,0.0%,
Region VI,Iloilo,Janiuay,Municipality,1st,3.98,4.68,0.66,9.32,2.98,12.73,0.00,15.70,25.02,0.00,166.98,0.00,0.00,0.00,0.08,0.00,0.00,0.08,192.08,13.0%,86.9%,0.0%,
Region VI,Iloilo,Lambunao,Municipality,1st,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0%,0.0%,0.0%,
Region VI,Iloilo,Leganes,Municipality,4th,2.44,8.46,0.72,11.62,5.44,2.02,6.69,14.15,25.78,0.00,91.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,117.28,22.0%,78.0%,0.0%,
Region VI,Iloilo,Lemery,Municipality,4th,0.95,0.72,0.40,2.07,0.89,2.38,0.00,3.26,5.33,0.08,103.21,0.00,0.00,0.00,0.02,0.00,0.00,0.02,108.64,4.9%,95.0%,0.0%,
Region VI,Iloilo,Leon,Municipality,2nd,2.53,3.90,0.94,7.38,0.42,1.06,10.55,12.03,19.41,0.16,137.66,0.00,0.00,0.00,0.04,0.00,0.00,0.04,157.26,12.3%,87.5%,0.0%,
Region VI,Iloilo,Maasin,Municipality,3rd,1.46,2.37,0.69,4.51,1.39,1.41,2.18,4.97,9.49,0.00,114.56,0.00,0.00,0.00,0.02,0.00,0.00,0.02,124.07,7.6%,92.3%,0.0%,
Region VI,Iloilo,Miagao,Municipality,1st,1.74,7.21,0.92,9.87,3.34,2.42,9.57,15.32,25.20,0.00,169.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,194.51,13.0%,87.0%,0.0%,
Region VI,Iloilo,Mina,Municipality,5th,1.59,1.02,0.32,2.94,0.56,0.46,6.31,7.33,10.27,0.00,78.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.99,11.5%,88.5%,0.0%,
Region VI,Iloilo,New Lucena,Municipality,4th,0.83,2.75,0.29,3.87,0.82,0.81,1.49,3.12,6.99,0.00,78.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.33,8.2%,91.8%,0.0%,
Region VI,Iloilo,Oton,Municipality,1st,14.36,25.92,1.89,42.16,4.88,5.39,14.64,24.91,67.07,0.24,193.04,0.00,0.00,0.00,0.14,0.00,0.00,0.14,260.50,25.7%,74.1%,0.1%,
Region VI,Iloilo,Pavia,Municipality,2nd,15.80,71.87,1.76,89.43,12.54,12.60,0.00,25.13,114.56,0.19,126.59,0.00,0.00,0.04,0.00,0.00,0.00,0.04,241.38,47.5%,52.4%,0.0%,
Region VI,Iloilo,Pototan,Municipality,1st,5.71,12.78,0.00,18.49,2.42,4.41,6.54,13.37,31.86,0.00,171.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,203.68,15.6%,84.4%,0.0%,
Region VI,Iloilo,San Dionisio,Municipality,4th,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0%,0.0%,0.0%,
Region VI,Iloilo,San Enrique,Municipality,3rd,2.91,2.00,0.61,5.52,1.47,0.74,2.94,5.15,10.67,0.02,106.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,117.33,9.1%,90.9%,0.0%,
Region VI,Iloilo,San Joaquin,Municipality,2nd,1.37,3.26,0.70,5.34,2.55,2.20,4.84,9.60,14.94,0.27,156.46,0.00,0.00,0.00,0.01,0.00,0.00,0.01,171.67,8.7%,91.1%,0.0%,
Region VI,Iloilo,San Miguel,Municipality,4th,3.83,11.17,0.71,15.71,1.89,1.98,3.18,7.05,22.76,0.10,83.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,106.48,21.4%,78.5%,0.0%,
Region VI,Iloilo,San Rafael,Municipality,5th,0.41,0.27,0.16,0.84,0.29,0.08,0.63,1.00,1.84,0.00,71.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.97,2.5%,97.5%,0.0%,
Region VI,Iloilo,Santa Barbara,Municipality,2nd,5.54,15.71,0.73,21.99,12.84,2.56,11.91,27.31,49.30,0.06,153.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,202.58,24.3%,75.6%,0.0%,
Region VI,Iloilo,Sara,Municipality,2nd,1.56,8.00,0.57,10.14,2.98,0.56,3.20,6.73,16.87,0.00,146.88,0.00,0.00,0.00,0.06,0.00,0.00,0.06,163.82,10.3%,89.7%,0.0%,
Region VI,Iloilo,Tigbauan,Municipality,2nd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0%,0.0%,0.0%,
