,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNUAL REGULAR INCOME AND DEPENDENCIES,,,,,,,,,,,,,,,,,,,,,,,,,,,
by LGU,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY 2019 (Final),,,,,,,,,,,,,,,,,,,,,,,,,,,
In Php Million,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION,PROVINCE,LGU NAME,LGU TYPE,INCOME CLASS,LOCALLY SOURCED REVENUE (LSR),,,,,,,,,INTEREST INCOME,INTERNAL REVENUE ALLOTMENT (IRA),OTHER SHARES FROM NATIONAL TAX COLLECTION,,,,,,,ANNUAL REGULAR INCOME (ARI),LSR DEPENDENCY,IRA DEPENDENCY,OTHER SHARES FROM NATIONAL TAX DEPENDENCY,
,,,,,TAX REVENUE,,,,NON-TAX REVENUE,,,,TOTAL LOCALLY - SOURCED REVENUE (LSR),,,"Share From Economic Zone 
(RA 7227)",Share From EVAT,Share From National Wealth,Share From Pagcor/PCSO/Lotto,Share From Tobacco Excise Tax (RA 7171),Others,TOTAL OTHER SHARES FROM NATIONAL TAX COLLECTION,,,,,
,,,,,"Real Property Tax 
(General Fund)",Tax On Business,Other Taxes,Total Tax Revenue,Regulatory Fees,Service/User Charges,Receipts From Economic Enterprises,Total Non-Tax Revenue,,,,,,,,,,,,,,,
,,,,,,,,,,,,,a,,b,,,,,,,c,d,e = a / d,f = b / d,g = c / d,
Region I,La Union,La Union,Province,1st,56.95,7.39,9.08,73.43,11.98,6.83,290.81,309.62,383.04,12.12,"1,220.38",0.00,0.00,0.12,2.09,0.00,0.00,2.22,"1,617.75",23.7%,75.4%,0.1%,
Region I,Pangasinan,Pangasinan,Province,1st,130.94,28.87,30.38,190.19,2.54,458.70,0.00,461.24,651.43,5.82,"3,453.20",0.00,0.00,1.41,0.00,27.66,0.00,29.07,"4,139.51",15.7%,83.4%,0.7%,
Region II,Batanes,Batanes,Province,5th,1.25,0.04,0.17,1.47,3.00,10.53,0.00,13.54,15.01,1.06,440.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,456.45,3.3%,96.5%,0.0%,
Region II,Cagayan,Cagayan,Province,1st,36.10,53.30,8.52,97.91,3.35,11.59,18.61,33.55,131.46,0.00,"2,360.85",29.81,0.00,0.00,1.43,0.00,0.00,31.24,"2,523.55",5.2%,93.6%,1.2%,
Region II,Isabela,Isabela,Province,1st,62.25,34.15,11.39,107.79,2.98,328.56,0.00,331.54,439.32,0.00,"2,911.33",0.00,0.00,2.31,0.27,0.00,0.00,2.58,"3,353.24",13.1%,86.8%,0.1%,
Region II,Nueva Vizcaya,Nueva Vizcaya,Province,2nd,37.67,8.03,8.23,53.93,4.59,211.48,0.00,216.07,270.00,2.69,"1,230.47",0.00,0.00,7.25,0.78,0.00,0.00,8.03,"1,511.18",17.9%,81.4%,0.5%,
Region II,Quirino,Quirino,Province,3rd,4.90,4.62,0.81,10.33,1.57,255.08,25.38,282.03,292.36,0.38,917.50,0.00,0.00,0.00,0.16,0.00,0.00,0.16,"1,210.40",24.2%,75.8%,0.0%,
Region III,Aurora,Aurora,Province,3rd,13.13,8.87,2.37,24.37,0.75,33.98,0.00,34.73,59.11,1.17,904.44,0.00,0.00,0.02,0.34,0.00,0.00,0.36,965.08,6.1%,93.7%,0.0%,
Region III,Bataan,Bataan,Province,1st,561.47,27.34,61.08,649.89,1.80,182.37,0.00,184.17,834.06,0.53,"1,185.13",14.98,0.00,0.11,2.16,0.00,0.00,17.25,"2,036.98",40.9%,58.2%,0.8%,
Region III,Bulacan,Bulacan,Province,1st,369.95,110.23,133.31,613.49,62.28,3.46,652.11,717.84,"1,331.33",1.47,"3,464.15",0.00,0.00,11.88,8.61,0.00,1.78,22.27,"4,819.23",27.6%,71.9%,0.5%,
